ID,"Referencia (Autor, Año, Título)",Tipo de Fuente,Contexto / Tipo de Falla que Detecta,Hardware y Sensores,Software / IA / Comunicación,Aporte / Aprovechable para el Proyecto,Limitaciones del Referente,Brecha Detectada (Oportunidad)
1,Anónimo (s.f.). Prototipo de un sistema o red de sensores para la detección de fugas de agua de uso doméstico utilizando un microcontrolador arduino.,Trabajo Académico / Prototipo,Hogar (General). Fugas por acumulación de agua / inundación.,"Arduino Uno, sensor de humedad/nivel de agua análogo.",Lógica condicional simple (If/Else). Alarmas locales (buzzer).,Comprueba la viabilidad técnica y el bajo costo de usar microcontroladores para descentralizar el monitoreo de agua residencial.,Sistema binario y reactivo. Solo alerta cuando el agua ya está estancada. No detecta microfugas ocultas a tiempo.,Falta de anticipación: Necesidad de pasar de un modelo reactivo (inundación) a uno preventivo (detección de goteo temprano).
2,"De Lima Rosado, E.O. (2025). Fortalecimiento de la seguridad en el internet de las cosas (IoT)...",Tesis de Especialización,Redes IoT residenciales. Vulnerabilidades en sensores de agua conectados.,N/A (Enfoque en arquitectura de red y nodos IoT).,"Protocolos de seguridad IoT, cifrado de red, mitigación de ataques.",Marco metodológico para asegurar la comunicación WiFi del ESP32. Evita que el sensor sea una puerta trasera para hackers.,"Enfoque estrictamente de ciberseguridad a nivel de red, sin innovación en la detección física del agua o procesamiento en el borde.",Procesamiento inseguro en la nube: La mayoría envía audios a la nube exponiendo privacidad; se necesita procesamiento local (Edge Computing).
3,"Islam, M. R., et al. (2023). An Intelligent IoT and ML-Based Water Leakage Detection System (IEEE).",Paper Científico,Tuberías y sistemas de distribución. Fugas de flujo.,"Microcontroladores con capacidad WiFi, medidores de flujo.","Machine Learning clásico (Random Forest/SVM), IoT, Nube.",Justificación académica principal para el uso de algoritmos de Machine Learning en la clasificación de patrones de flujo de agua.,"Dependencia de procesamiento externo o en la nube para ejecutar los modelos de IA, generando latencia y consumo de ancho de banda.",Dependencia de la Nube: Oportunidad para implementar modelos TinyML directamente en el nodo (ESP32) sin depender de internet continuo.
4,"Kang, J., et al. (2023). Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor (MDPI).",Paper Científico,Tuberías industriales/metálicas. Fugas presurizadas silenciosas.,Sensores de vibración piezoeléctricos de alta frecuencia.,"Análisis de espectro de frecuencias, Machine Learning.",Demuestra que la firma acústica (vibración) es más rápida y precisa para detectar fugas que los medidores de presión o flujo tradicionales.,"Pruebas realizadas en entornos industriales controlados, no optimizado para las interferencias acústicas de una cocina doméstica.",Contexto aislado: Los sensores acústicos generan falsos positivos en casa. Se necesita Sensor Fusion (flujo + vibración) para dar contexto.
5,Edge Impulse (2023-2024). Anomaly Detection Guide / Firmware for ESP32.,Documentación Técnica Oficial,Mantenimiento predictivo e IoT. Anomalías acústicas y de vibración.,"ESP32, Micrófonos, Acelerómetros.","TinyML, Edge Impulse Studio, C++, inferencia en dispositivo.",Base de código y guía metodológica para entrenar la red neuronal con audios de goteo y desplegarla eficientemente en el ESP32.,"Es una herramienta de propósito general, no está calibrada ni diseñada específicamente para dinámicas de fluidos o agua.",Implementación de nicho: Oportunidad de adaptar esta arquitectura general de IA a la física específica del goteo bajo un lavaplatos.
6,"Escobar, J., & López, F. (2016). Detección de fugas en una red de distribución de agua potable (ITTG).",Trabajo de Grado (Ing. Electrónica),Tuberías de distribución. Fugas por ruptura o pérdida de presión constante.,"Arduino, Sensores de flujo de agua tipo YF-S201.",Lógica de control en C++ (comparación de variables de caudal). Pantalla LCD.,Valida el uso y fiabilidad de sensores de flujo de bajo costo (tipo turbina/Hall) en arquitecturas con microcontroladores básicos.,Depende exclusivamente de la diferencia de caudal medible. No posee algoritmos predictivos ni análisis de vibración/acústica.,Insensibilidad al goteo: Un goteo no mueve la turbina de estos sensores. Para detectar microfugas se necesita sumar una señal acústica.
7,"Rubiños, S. L., et al. (2023). Los sistemas de abastecimiento de agua potable: prevención y detección temprana de fugas.",Libro Académico / Técnico,Redes macro de abastecimiento urbano. Pérdidas físicas y comerciales.,"Geófonos, medidores electromagnéticos macro.","Menciona Inteligencia Artificial (Redes Neuronales, SVM) para diagnóstico de fallas.",Fundamenta teóricamente la urgencia de transicionar de métodos manuales (escuchar con geófonos) a modelos automatizados con Inteligencia Artificial.,El enfoque es 100% macro (acueductos de ciudad) y requiere alta capacidad de cómputo en servidores para correr los modelos.,Escalabilidad y contexto: Las soluciones macro no aplican al entorno doméstico. Hay oportunidad de miniaturizar esa IA usando TinyML en el hogar.
8,"Farah, E. & Shahrour, I. (2024). Water Leak Detection: A Comprehensive Review of Methods, Challenges... (MDPI)",Review Paper,Redes de distribución (Macro). Fugas estructurales.,"Sensores acústicos, Medidores Inteligentes IoT.","Inteligencia Artificial, Machine Learning clásico.",Confirma a nivel bibliométrico que el análisis acústico es el método de vanguardia más confiable y de mayor precisión en la actualidad para detectar fugas.,"Su estudio se centra enteramente en redes macro (acueductos de ciudad) operadas por empresas públicas, ignorando el ecosistema doméstico.",Escalabilidad Macro-Micro: Existe un vacío en la traslación de esta tecnología acústica de nivel municipal a dispositivos pequeños para el hogar (Smart Home).
9,"Corado Pérez, L. (2025). Detección y prevención de fugas en tuberías e infraestructuras de agua (UOC).",Trabajo Fin de Máster,Smart Cities. Redes de agua urbanas.,"IoT, sensórica en tuberías.","Machine Learning, Modelos de optimización.",Análisis muy reciente sobre cómo la recolección de datos IoT y el Machine Learning previenen fallas antes de que ocurran pérdidas económicas graves.,"Solución pensada para la infraestructura pública de la ciudad, dependiente de servidores externos para correr los modelos.",Computación Local (Edge): La necesidad de llevar esa inteligencia de servidores a un microcontrolador local para no depender de la nube.
10,"Islam, M. R. et al. (2022). A Review on Current Technologies and Future Direction of Water Leakage... (IEEE).",Review Paper,Infraestructura subterránea. Pérdidas de agua silenciosas.,"WSN (Wireless Sensor Networks), sensores de presión y acústicos.","IoT, Análisis de datos en la nube.",Identifica las topologías de red de sensores inalámbricos (WSN) óptimas para mantener la comunicación en tuberías complejas.,"Evaluaciones enfocadas en tuberías subterráneas y grandes caudales, no en el entorno altamente ruidoso de una cocina residencial.",Filtrado de Ruido (Contexto): Los sensores acústicos captan interferencias domésticas. Se requiere Sensor Fusion para saber si el ruido es una fuga o el uso normal del lavaplatos.
