Mapa de tendencias (6 hallazgos principales),,"Dado que no existe un producto comercial idéntico para microfugas predictivas con IA en el dispositivo para el nicho del lavaplatos, los referentes se componen de alternativas IoT y académicas:",,Brechas claras del estado del arte (Oportunidades para el proyecto)
,,competidores/referentes más cercanos,,
"Evolución del Procesamiento (De la Lógica a la IA): Se observa una clara transición desde sistemas condicionales simples (ej. activar un buzzer si el nivel sube) hacia modelos de Inteligencia Artificial que analizan patrones complejos de fluidos (Corado, 2025; Farah, 2024).",,"Detectores de inundación IoT comerciales (ej. Xiaomi/Tuya Water Leak Sensor): Por qué: Son los más vendidos en domótica. Diferencia: Tienen el mismo factor de forma, pero su enfoque es 100% reactivo (avisan cuando hay un charco tocando sus pines eléctricos). No previenen.",,"Brecha de Prevención y Escala (Reactivo/Macro vs. Predictivo/Micro): El mercado doméstico ofrece sensores reactivos de inundación, mientras que las soluciones preventivas (IA) solo existen a nivel de ""Smart City"" para macro-acueductos. Oportunidad: Traducir esa tecnología de redes macro en un nodo Smart Home con TinyML que prevenga el fallo del latiguillo antes de la acumulación de agua."
,,,,
"Predominancia de la Acústica para Fugas Invisibles: Los sensores acústicos y piezoeléctricos se confirman como el estándar tecnológico en la industria (IEEE, MDPI) para detectar fugas ocultas, ya que el sonido de la turbulencia viaja a través del tubo antes de que el agua sea visible.",,"""ESP8266 Nodemcu Leak Sensor"" (Sagat - GitHub): Por qué: Es el competidor directo a nivel de arquitectura IoT amateur. Utiliza el mismo ecosistema WiFi para enviar alertas Push a un móvil frente a fallas de agua. Diferencia: Carece de Inteligencia Artificial y de un sensor preventivo; funciona como una simple alarma de agua externa.",,"Brecha de Falsos Positivos (Falta de Sensor Fusion): Usar micrófonos en una tubería casera genera alarmas falsas, pues el usuario al usar el fregadero genera ruido. Oportunidad: Integrar un sensor de flujo como ""interruptor de contexto"" (Sensor Fusion). Si hay ruido pero hay caudal constante, es uso normal; si hay firma de goteo con caudal cero, es fuga."
,,,,
"Democratización del Hardware IoT: Existe una fuerte tendencia respaldada científicamente a utilizar plataformas Open Source y de bajo costo (como ESP8266/ESP32 o Arduino) para reemplazar costosos dataloggers industriales, manteniendo la precisión en la captura de variables físicas (Bruno et al., 2021).",,"Sistemas Inteligentes de Válvula Principal (ej. Phyn Plus / Moen Flo): Por qué: Usan IA para aprender el consumo de la casa. Diferencia: Se instalan en la tubería madre de la calle, son costosos e ignoran goteos muy lentos (0.1 L/min) en acoples finales por interpretarlos como ruido de línea.",,"Brecha de Privacidad y Eficiencia Energética (Cloud vs. Edge AI): Procesar el sonido de las tuberías suele requerir envío continuo de datos a servidores. Oportunidad: Ejecutar la Inferencia localmente en el microcontrolador (ESP32) para que solo se transmita el estado de alerta por WiFi a la App en Flutter, garantizando baja latencia y privacidad."
,,,,
"El problema de la ""Zona Muerta"" Mecánica y de Presión: Sistemas que dependen de sensores de flujo mecánicos o medidores de caída de presión demuestran ser ineficaces en escenarios de micro-goteo progresivo (Dixit et al., 2017).",,"Proyecto de Detección con Machine Learning e IoT (Islam et al., 2022 / Farah, 2024): Por qué: Representan el estado del arte académico en el análisis acústico de tuberías. Diferencia: Utilizan IA en la nube y sensores industriales enfocados en infraestructuras macro, no en domótica de nicho.",,
,,,,
"Dependencia de la Nube (Cloud Computing): La inmensa mayoría de los sistemas IoT actuales con Inteligencia Artificial envían los datos a servidores externos para su procesamiento (Smart Cities), generando latencia y vulnerabilidades de red.",,"Prototipos de Mantenimiento Predictivo con Edge Impulse (ESP32): Por qué: Poseen la base técnica exacta de IA en el borde (TinyML) que utilizará este proyecto para detectar anomalías. Diferencia: Son modelos genéricos para vibración de motores, que el presente proyecto adaptará a la dinámica física del goteo.",,
,,,,
"Carencia de Contexto Residencial: La bibliografía y algoritmos actuales están validados casi en su totalidad para redes macro (subterráneas o acueductos municipales), ignorando las interferencias cotidianas de una cocina doméstica.",,,,
